Well,Target,Sample,Cq
H09,ZFP36L1,Ang1hrRep1_MinusRT,NaN
H10,ZFP36L1,Ang1hrRep1_PlusRT,28.27569562
H11,ZFP36L1,Ang1.5hrRep1_MinusRT,NaN
H12,ZFP36L1,Ang1.5hrRep1_PlusRT,28.16986212
H13,ZFP36L1,Ang2hrRep1_MinusRT,NaN
H14,ZFP36L1,Ang2hrRep1_PlusRT,28.5711166
H15,ZFP36L1,Ang3hrRep1_MinusRT,NaN
H16,ZFP36L1,Ang3hrRep1_PlusRT,28.24708195
H17,ZFP36L1,Ang4hrRep1_MinusRT,NaN
H18,ZFP36L1,Ang4hrRep1_PlusRT,27.58308629
H19,ZFP36L1,Ang6hrRep1_MinusRT,NaN
H20,ZFP36L1,Ang6hrRep1_PlusRT,28.06318082
H21,ZFP36L1,Ang8hrRep1_MinusRT,NaN
H22,ZFP36L1,Ang8hrRep1_PlusRT,28.22118317
H23,ZFP36L1,Ang24hrRep1_MinusRT,NaN
H24,ZFP36L1,Ang24hrRep1_PlusRT,29.28889445
I01,ZFP36L1,Ang0hrRep1_MinusRT,38.68153964
I02,ZFP36L1,Ang0hrRep1_PlusRT,28.91668803
I03,ZFP36L1,Ang0.25hrRep1_MinusRT,NaN
I04,ZFP36L1,Ang0.25hrRep1_PlusRT,28.54785805
I05,ZFP36L1,Ang0.5hrRep1_MinusRT,38.07193642
I06,ZFP36L1,Ang0.5hrRep1_PlusRT,28.55202152
I07,ZFP36L1,Ang0.75hrRep1_MinusRT,NaN
I08,ZFP36L1,Ang0.75hrRep1_PlusRT,28.29814212
I09,ZFP36L1,Ang1hrRep1_MinusRT,NaN
I10,ZFP36L1,Ang1hrRep1_PlusRT,28.20185155
I11,ZFP36L1,Ang1.5hrRep1_MinusRT,NaN
I12,ZFP36L1,Ang1.5hrRep1_PlusRT,28.03707069
I13,ZFP36L1,Ang2hrRep1_MinusRT,35.76507468
I14,ZFP36L1,Ang2hrRep1_PlusRT,28.46688392
I15,ZFP36L1,Ang3hrRep1_MinusRT,NaN
I16,ZFP36L1,Ang3hrRep1_PlusRT,27.99888937
I17,ZFP36L1,Ang4hrRep1_MinusRT,35.88478178
I18,ZFP36L1,Ang4hrRep1_PlusRT,27.37041546
I19,ZFP36L1,Ang6hrRep1_MinusRT,NaN
I20,ZFP36L1,Ang6hrRep1_PlusRT,27.78906338
I21,ZFP36L1,Ang8hrRep1_MinusRT,NaN
I22,ZFP36L1,Ang8hrRep1_PlusRT,28.0369798
I23,ZFP36L1,Ang24hrRep1_MinusRT,NaN
I24,ZFP36L1,Ang24hrRep1_PlusRT,28.69279173
J01,ZFP36L2,Ang0hrRep1_MinusRT,37.69409919
J02,ZFP36L2,Ang0hrRep1_PlusRT,25.99159311
J03,ZFP36L2,Ang0.25hrRep1_MinusRT,36.16867204
J04,ZFP36L2,Ang0.25hrRep1_PlusRT,25.63571287
J05,ZFP36L2,Ang0.5hrRep1_MinusRT,37.09038469
J06,ZFP36L2,Ang0.5hrRep1_PlusRT,25.5266663
J07,ZFP36L2,Ang0.75hrRep1_MinusRT,36.50981977
J08,ZFP36L2,Ang0.75hrRep1_PlusRT,25.31347587
J09,ZFP36L2,Ang1hrRep1_MinusRT,37.40138936
J10,ZFP36L2,Ang1hrRep1_PlusRT,25.01935744
J11,ZFP36L2,Ang1.5hrRep1_MinusRT,NaN
J12,ZFP36L2,Ang1.5hrRep1_PlusRT,24.41707681
J13,ZFP36L2,Ang2hrRep1_MinusRT,NaN
J14,ZFP36L2,Ang2hrRep1_PlusRT,24.75815004
J15,ZFP36L2,Ang3hrRep1_MinusRT,37.78608236
J16,ZFP36L2,Ang3hrRep1_PlusRT,24.32005339
J17,ZFP36L2,Ang4hrRep1_MinusRT,36.77377706
J18,ZFP36L2,Ang4hrRep1_PlusRT,23.96323909
J19,ZFP36L2,Ang6hrRep1_MinusRT,37.82233653
J20,ZFP36L2,Ang6hrRep1_PlusRT,23.82586928
J21,ZFP36L2,Ang8hrRep1_MinusRT,39.50722536
J22,ZFP36L2,Ang8hrRep1_PlusRT,24.07827614
J23,ZFP36L2,Ang24hrRep1_MinusRT,NaN
J24,ZFP36L2,Ang24hrRep1_PlusRT,25.38267724
K01,ZFP36L2,Ang0hrRep1_MinusRT,37.40761389
K02,ZFP36L2,Ang0hrRep1_PlusRT,26.04593191
K03,ZFP36L2,Ang0.25hrRep1_MinusRT,37.07333134
K04,ZFP36L2,Ang0.25hrRep1_PlusRT,25.42203748
K05,ZFP36L2,Ang0.5hrRep1_MinusRT,38.05523681
K06,ZFP36L2,Ang0.5hrRep1_PlusRT,25.46130941
K07,ZFP36L2,Ang0.75hrRep1_MinusRT,37.43317322
K08,ZFP36L2,Ang0.75hrRep1_PlusRT,25.15375756
K09,ZFP36L2,Ang1hrRep1_MinusRT,37.17871625
K10,ZFP36L2,Ang1hrRep1_PlusRT,25.12119201
K11,ZFP36L2,Ang1.5hrRep1_MinusRT,38.47960081
K12,ZFP36L2,Ang1.5hrRep1_PlusRT,24.16678495
K13,ZFP36L2,Ang2hrRep1_MinusRT,39.92990992
K14,ZFP36L2,Ang2hrRep1_PlusRT,24.42600742
K15,ZFP36L2,Ang3hrRep1_MinusRT,38.8977724
K16,ZFP36L2,Ang3hrRep1_PlusRT,23.8888999
K17,ZFP36L2,Ang4hrRep1_MinusRT,39.11469296
K18,ZFP36L2,Ang4hrRep1_PlusRT,23.80139097
K19,ZFP36L2,Ang6hrRep1_MinusRT,37.46286425
